ACCOUNT,ACC_DESC,PORTFOLIO,PORT_DESC,LEGAL_ENTITY,ALADDIN_PORT,CUSTODIAN,SAFEKEEPING_ACC,BI_SAM
00100   ,COMPANY        ,00100   ,CASUALTY - US HOLDINGS                  ,1100                          ,253                                ,CHASE   ,G 51474         ,00100   
00100   ,COMPANY        ,001001B ,IC SINGLE B                           ,1100                          ,391                                ,CHASE   ,G 00246         ,001001B 
00100   ,COMPANY        ,001002B ,IC HIGH YIELD BOND                    ,1100                          ,392                                ,CHASE   ,G 00247         ,001002B 
00100   ,COMPANY        ,00100ACQ,IC - ACQUISITIONS                     ,1100                          ,1203                               ,CHASE   ,G 21712         ,
00100   ,COMPANY        ,00100BR1,IC - BRL DURATION                     ,1100                          ,760                                ,ITAU    ,20000180        ,00100BR1
00100   ,COMPANY        ,00100BR2,IC BRL REINSURANCE                    ,1100                          ,768                                ,ITAU    ,990871          ,00100BR2
00100   ,COMPANY        ,00100CA ,IC - CA TM                            ,1100                          ,                                   ,CHASE   ,P 62581         ,
00100   ,COMPANY        ,00100CA2,IC/SDIC - CA TM                       ,1100                          ,                                   ,CHASE   ,P 25848         ,
00100   ,COMPANY        ,00100CL ,IC - CHUBB LOC                        ,1100                          ,                                   ,CITIBANK,30798463        ,
00100   ,COMPANY        ,00100CR ,IC CEDED RE                           ,1100                          ,912                                ,BONY    ,890697          ,
00100   ,COMPANY        ,00100CS ,IC-CREDIT STRATEGIES                  ,1100                          ,1321                               ,CHASE   ,G 21282         ,
00100   ,COMPANY        ,00100DE8,IC DEBT EXCHANGE 2008                 ,1100                          ,254                                ,CHASE   ,G 00230         ,00100DE8
00100   ,COMPANY        ,00100DP ,IC - DEBT PROCEEDS                    ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00100DP3,IC DEBT PROCEEDS 2008                 ,1100                          ,                                   ,CHASE   ,NULL,
00100   ,COMPANY        ,00100EI7,EICOW ASSET TRANSFER 2007               ,1100                          ,255                                ,CHASE   ,G 11568         ,
